id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1139	ara darzi	0.8902	0.1086	11	5	13	8	164	4.3819	2016.5	20.5	0.5477
1254	astrid jander	-0.9013	0.364	5	8	12	3	61	2.3834	2015	20.3333	0.7945
1302	azeem majeed	0.8706	0.1585	11	9	9	4	145	26.7677	2014.5	36.25	6.6919
1303	aziz sheikh	-0.9011	-0.1993	14	2	4	3	9	2.4136	2018	3	0.8045
1411	ben f m wijnen	-0.7827	0.223	5	5	6	3	8	1.2577	2017.6667	2.6667	0.4192
1413	ben greer	-0.7239	-0.1725	14	2	5	3	21	8.4679	2018.6667	7	2.8226
1482	beth stuart	1.1335	0.1772	11	8	13	3	72	2.6754	2015	24	0.8918
1504	beverly b green	0.7815	-0.0432	15	4	4	3	498	12.5537	2011	166	4.1846
1517	bhone myint kyaw	0.7796	0.2384	8	14	40	9	37	62.3903	2019	4.1111	6.9323
1602	bradford w hesse	0.9437	-0.2486	1	10	22	10	887	16.2388	2013.3	88.7	1.6239
1614	bregje a j van spijker	-0.4846	0.0909	9	8	10	3	74	5.4326	2015.3333	24.6667	1.8109
1658	brian j zikmundfisher	0.5088	-0.2239	15	9	19	10	302	8.7099	2013.9	30.2	0.871
1688	bridgette m bewick	1.0469	0.1793	11	1	2	3	87	1.3078	2013.6667	29	0.4359
1689	brigitte boon	-0.7813	0.0855	3	9	17	7	391	6.7047	2012.8571	55.8571	0.9578
1697	britt klein	-0.3664	-0.0966	7	13	23	8	426	6.0596	2012	53.25	0.7575
1711	brjann ljotsson	-0.4961	-0.0045	21	2	3	3	96	1.4553	2014.3333	32	0.4851
1729	bruce neal	-0.2627	0.3204	17	5	10	3	344	4.957	2011.3333	114.6667	1.6523
1834	cameron d norman	-0.3512	-0.2742	23	3	5	6	1066	10.2719	2006.5	177.6667	1.712
1840	camille e short	-1.1363	0.5952	6	10	19	3	25	6.7045	2018	8.3333	2.2348
1895	carlos rizo	0.286	-0.3221	10	1	2	3	460	5.5042	2005.6667	153.3333	1.8347
1905	carmelo velardo	1.2467	0.3949	12	3	7	3	57	4.5219	2016.6667	19	1.5073
1927	carol maher	-1.131	0.6194	6	12	25	7	383	24.9482	2017.1429	54.7143	3.564
1948	caroline free	1.1042	0.3839	12	6	8	3	64	2.0417	2014.3333	21.3333	0.6806
1956	caroline jay	-0.8041	-0.1597	14	2	4	3	20	1.7249	2016.6667	6.6667	0.575
1957	caroline l donovan	-0.3309	0.1441	9	2	5	3	53	3.7756	2016	17.6667	1.2585
1963	caroline r richardson	0.6303	-0.151	15	5	9	8	505	9.2622	2010.75	63.125	1.1578
1964	caroline sanders	-0.86	-0.1875	14	1	2	3	69	3.6426	2015.6667	23	1.2142
1974	carolyn turvey	0.8581	-0.1155	1	4	9	4	173	5.8888	2015.75	43.25	1.4722
1999	caterina masino	0.2967	-0.4681	10	5	15	3	253	4.5529	2011.3333	84.3333	1.5176
2010	catherine bolman	-0.9714	0.3837	5	8	20	9	193	5.832	2014.7778	21.4444	0.648
2029	catherine woods	-1.1991	0.6002	6	12	23	5	42	8.2454	2018	8.4	1.6491
2055	cecilie varsi	-0.5845	-0.4332	19	9	19	6	59	3.5024	2017	9.8333	0.5837
2069	celien van der mispel	-1.2031	0.6757	6	4	11	3	22	1.9958	2017	7.3333	0.6653
2125	charles m cleland	-0.5086	-0.4575	19	1	1	3	11	0.6747	2017.6667	3.6667	0.2249
2145	charoula konstantia nikolaou	0.7822	0.2665	8	10	13	3	35	59.0179	2019	11.6667	19.6726
